Easting,Northing,Elevation,Name
292587.187,1990230.235,4.025,RA-500
291839.332,1990754.048,4.662,RA-499
290995.792,1990724.154,14.321,RA-498
290551.459,1990586.139,4.527,RA-497
290814.239,1991401.379,6.352,RA-496
290271.323,1994097.01,4.421,RA-491
289444.217,1996081.939,4.883,RA-489
289675.771,1995317.091,3.729,RA-490
,,,
285086.734,2014299.295,5.396,RA-466
284519.383,2014969.074,4.831,RA-465
283877.028,2015701.365,6.28,RA-464
282940.31,2016097.421,6.327,RA-463
282779.772,2016875.142,76.493,RA-459
282507.534,2019231.943,6.626,RA-456
285256.362,2021525.225,17.263,RA-448
285332.161,2020302.083,6.58,RA-447
285159.996,2019804.317,5.642,RA-446
284955.752,2018548.248,4.414,RA-445
285963.806,2018000.759,3.163,RA-444
287014.225,2018099.05,20.075,RA-443
287945.717,2018155.687,47.242,RA-442
288854.727,2018115.917,20.598,RA-441
283149.696,2029070.969,37.114,RA-504
282443.888,2029613.672,6.258,RA-403
281848.054,2029478.333,4.028,RA-402
281712.06,2030282.198,4.932,RA-401
280664.178,2030258.246,3.74,RA-400
280027.473,2030339.308,14.264,RA-399
280441.248,2034972.67,3.441,RA-393
279365.823,2036814.408,12.194,RA-389
279006.225,2038595.297,31.763,RA-387
279100.507,2050675.754,16.34,RA-370
279423.723,2049742.074,6.106,RA-372
279832.95,2049391.025,15.511,RA-373
279905.541,2048144.261,10.868,RA-374
279401.574,2047049.64,10.971,RA-375
278760.726,2046314.382,7.308,RA-376
278626.282,2045504.937,9.482,RA-377
280575.076,2050170.452,4.441,RA-368
281329.319,2050643.658,5.943,RA-367
281448.041,2051466.355,10.009,RA-368-A
281158.096,2052412.784,4.913,RA-367-A1
280664.51,2053573.142,2.283,RA-366
277897.584,2059130.74,5.109,RA-359A
274898.526,2076324.683,5.218,RA-340
275320.027,2074664.325,3.9,RA-341
274824.003,2073202.994,6.137,RA-343
275598.71,2080258.918,6.284,RA-335
275118.317,2079670.498,4.394,RA-336 
,,,
291395.447,1997223.941,20.484,CP-1 Emlid
291395.448,1997223.941,16.484,CP-1 NEW EMLID
291395.444,1997223.951,16.475,CP-1 candian
283753.682,2028286.984,4.281,RA-405
284178.089,2027153.29,4.253,RA-407
284124.676,2026510.563,8.168,RA-408
284528.343,2025975.249,5.287,RA-409
285262.56,2025760.417,47.776,RA-410
285400.888,2024700.063,8.043,RA-411
285822.881,2024776.113,4.648,RA-412
286464.834,2024661.806,4.843,RA-413
286981.157,2023654.044,3.759,RA-414
287414.966,2023282.265,5.813,RA-501
287914.319,2021716.99,3.84,RA-416
287701.137,2022363.452,4.822,RA-415
288106.674,2022743.697,3.567,RA-417
289088.93,2023025.579,4.588,RA-418
290131.635,2022980.224,4.673,RA-419
290994.892,2022282.618,4.792,RA-420
291011.505,2021394.588,4.08,RA-422
279263.741,2037854.562,11.517,RA-388
279164.586,2038999.582,5.226,RA-386
278663.299,2041010.779,7.775,RA-384
277920.287,2042471.644,31.922,RA-382
278108.662,2043608.831,12.092,RA-380
277910.359,2059197.203,3.765,RA-359
278409.932,2057986.751,4.251,RA-360
278742.015,2057113.567,3.797,RA-361
279153.436,2056305.877,4.314,RA-362
279370.002,2055668.413,5.438,RA-363
280063.932,2054457.05,2.968,RA-364
280272.733,2053961.054,3.224,RA-365
275120.985,2062954.914,4.712,RA-354
274647.842,2064891.527,3.643,RA-352
274663.885,2065703.757,4.04,RA-351
274435.605,2066831.208,3.971,RA-350
274355.291,2067654.913,4.833,RA-349
273894.221,2068554.758,4.636,RA-348
274859.304,2074034.688,4.329,RA-342
277297.791,2080076.965,2.77,RA-332
276712.248,2080518.036,5.426,RA-333
,,,
286785.058,2007078.37,25.766,RA-473
287143.461,2007552.218,16.423,RA-472
287382.475,2008521.414,12.366,RA-471
287487.998,2009466.818,5.773,RA-470
287322.861,2010330.827,6.635,RA-469A
286833.06,2012113.344,5.407,RA-468
285882.725,2013737.493,6.073,RA-467
,,,
279365.823,2036814.408,12.194,RA-389
279137.637,2038310.839,12.408,RA-387
278961.098,2039952.613,7.48,RA-385
278345.43,2041638.482,6.728,RA-383
277952.367,2043052.435,45.451,RA-381
278503.739,2044399.649,4.732,RA-379
279423.723,2049742.075,6.107,RA-372
279401.573,2047049.64,10.971,RA-374
279905.541,2048144.261,10.868,RA-374
275683.779,2062178.127,4.618,RA-355
276464.413,2062066.711,3.339,RA-356
276745.072,2061662.403,3.515,RA-357
277191.438,2060569.132,3.833,RA-358
274733.169,2064082.448,4.371,RA-353
275683.779,2062178.126,4.617,RA-355
274834.664,2071347.668,6.297,RA-345
274498.561,2070251.641,5.89,RA-346
274115.904,2069268.84,2.94,RA-347
274822.849,2072368.386,3.024,RA-344
274898.526,2076324.683,5.218,RA-340
274794.447,2077136.819,5.542,RA-339
274837.96,2077971.46,5.822,RA-338
274885.581,2078939.906,7.415,RA-337
,,,
286285.37,2006213.343,46.773,RA-474
286037.566,2005772.855,73.706,RA-475
286312.812,2004743.203,50.934,RA-476
286275.927,2003802.424,7.872,RA-477
286641.817,2002912.242,28.402,RA-479
286881.318,2002910.096,34.513,RA-478
287632.481,2002416.636,11.186,RA-480
288057.084,2001523.817,4.77,RA-481
288084.438,2000658.556,5.4,RA-482
288697.933,1999767.483,5.578,RA-483
288679.271,1998646.963,44.808,RA-484
288968.815,1997463.818,4.533,RA-488
289641.784,2018333.247,6.091,RA-440
290647.587,2017926.237,4.241,RA-439
291045.073,2017329.151,10.663,RA-438
291571.461,2016846.735,35.782,RA-437
291876.74,2016593.541,46.162,RA-436
292636.729,2016010.012,60.352,RA-435
297022.883,2016548.938,5.773,RA-431
296770.811,2017785.843,19.073,RA-430
296659.688,2018530.843,85.19,RA-429
296267.269,2020265.448,4.585,RA-427
296097.592,2021393.034,13.143,RA-426
292384.991,2020955.985,26.712,RA-423
280925.408,2034348.161,6.445,RA-394
280898.564,2033337.168,4.031,RA-395
280784.166,2032707.16,3.818,RA-396
279006.224,2038595.297,112.759,RA-387
295037.76,2022199.858,3.769,RA -425
289088.931,2023025.579,-68656.682,RA-418
292964.226,2020949.149,46.76,RA-424*
291346.553,2021537.304,3.941,RA-421
290131.649,2022980.223,4.692,RA-419
287914.319,2021716.99,3.84,RA416
286981.211,2023654.071,3.916,Ra-414
285823.012,2024776.13,4.574,RA-412
285822.881,2024776.114,4.648,RA-412
283753.682,2028286.983,4.282,RA-405
279524.302,2035208.725,13.321,RA-392
279216.664,2036220.694,5.59,RA-390
